Snellius account	Group
scur1675	Unknown
scur1676	Unknown
scur1677	Unknown
scur1678	Unknown
scur1679	Unknown
scur1680	Unknown
scur1681	Unknown
scur1682	Unknown
scur1683	Unknown
scur1684	2
scur1685	14
scur1686	Unknown
scur1687	Unknown
scur1688	Unknown
scur1689	Unknown
scur1691	3
scur1692	Unknown
scur1693	Unknown
scur1694	Unknown
scur1695	5
scur1697	6
scur1698	Unknown
scur1700	15
scur1701	15
scur1702	Unknown
scur1703	5
scur1705	17
scur1706	12
scur1707	4
scur1708	Unknown
scur1709	Unknown
scur1710	3
scur1711	12
scur1713	Unknown
scur1716	Unknown
scur1717	2
scur1719	3
scur1721	17
scur1722	Unknown
scur1723	4
scur1724	Unknown
scur1726	Unknown
scur1727	2
scur1729	Unknown
scur1730	Unknown
scur1731	Unknown
scur1732	Unknown
scur1733	4
scur1735	15
scur1736	6
scur1737	Unknown
scur1738	14
scur1739	17
scur1740	Unknown
scur1741	12
scur1742	12
scur1744	Unknown
scur1745	Unknown
scur1746	12
scur1747	Unknown
scur1748	5
scur1749	12
scur2154	6
scur2155	Unknown
scur2156	Unknown
scur2157	14
scur2158	12
scur2159	Unknown
scur0008	17
scur1900	Unknown
