Usage data for account gpuuva065

Month      Account    User                    SBUs      Restituted
---------- ---------- ------------ --------------- --------------- 
2025-12-24 gpuuva065  scur1681              3691.4             0.0
Totals for this user                        3691.4             0.0

2025-11-13 gpuuva065  scur1684                15.3             0.0
2025-11-14 gpuuva065  scur1684                35.9             0.0
2025-11-17 gpuuva065  scur1684                92.2             0.0
2025-11-18 gpuuva065  scur1684               152.2             0.0
2025-11-19 gpuuva065  scur1684                49.0             0.0
2025-11-20 gpuuva065  scur1684               161.2             0.0
2025-11-21 gpuuva065  scur1684              1362.5             0.0
2025-12-01 gpuuva065  scur1684               933.4             0.0
2025-12-02 gpuuva065  scur1684             17437.7             0.0
2025-12-03 gpuuva065  scur1684             18807.0             0.0
2025-12-04 gpuuva065  scur1684              6404.2             0.0
2025-12-05 gpuuva065  scur1684              4416.9             0.0
2025-12-06 gpuuva065  scur1684              2756.1             0.0
2025-12-07 gpuuva065  scur1684              2578.3             0.0
2025-12-08 gpuuva065  scur1684             40126.9             0.0
2025-12-09 gpuuva065  scur1684              3929.7             0.0
2025-12-10 gpuuva065  scur1684             25477.3             0.0
2025-12-11 gpuuva065  scur1684              8493.0             0.0
2025-12-12 gpuuva065  scur1684              3006.7             0.0
2025-12-13 gpuuva065  scur1684              2530.9             0.0
2025-12-14 gpuuva065  scur1684                10.6             0.0
2025-12-15 gpuuva065  scur1684              1591.0             0.0
2025-12-16 gpuuva065  scur1684              7995.4             0.0
2025-12-17 gpuuva065  scur1684              4511.2             0.0
2025-12-18 gpuuva065  scur1684             11521.2             0.0
2025-12-19 gpuuva065  scur1684              1335.5             0.0
2025-12-20 gpuuva065  scur1684                20.2             0.0
2025-12-21 gpuuva065  scur1684                70.5             0.0
Totals for this user                      165821.7             0.0

2025-11-15 gpuuva065  scur1685                26.9             0.0
2025-11-18 gpuuva065  scur1685                14.1             0.0
2025-12-01 gpuuva065  scur1685               260.1             0.0
2025-12-02 gpuuva065  scur1685                82.0             0.0
2025-12-03 gpuuva065  scur1685                61.5             0.0
2025-12-04 gpuuva065  scur1685               192.6             0.0
2025-12-05 gpuuva065  scur1685               809.0             0.0
2025-12-06 gpuuva065  scur1685              5776.3             0.0
2025-12-09 gpuuva065  scur1685              1059.4             0.0
2025-12-10 gpuuva065  scur1685               900.7             0.0
2025-12-11 gpuuva065  scur1685              1067.1             0.0
2025-12-13 gpuuva065  scur1685              1676.9             0.0
2025-12-14 gpuuva065  scur1685             15776.5             0.0
Totals for this user                       27703.0             0.0

2025-11-06 gpuuva065  scur1687                25.5             0.0
2025-11-07 gpuuva065  scur1687               102.4             0.0
2025-11-09 gpuuva065  scur1687               631.8             0.0
2025-11-10 gpuuva065  scur1687              2397.7             0.0
2025-11-21 gpuuva065  scur1687                44.6             0.0
2025-12-02 gpuuva065  scur1687               699.1             0.0
2025-12-03 gpuuva065  scur1687              1628.3             0.0
2025-12-10 gpuuva065  scur1687               750.6             0.0
2025-12-11 gpuuva065  scur1687              2037.1             0.0
2025-12-12 gpuuva065  scur1687              1428.4             0.0
2025-12-13 gpuuva065  scur1687               232.8             0.0
2025-12-18 gpuuva065  scur1687              2284.6             0.0
2025-12-19 gpuuva065  scur1687              2170.7             0.0
2025-12-20 gpuuva065  scur1687              1986.3             0.0
2025-12-21 gpuuva065  scur1687               154.5             0.0
Totals for this user                       16574.3             0.0

2025-10-31 gpuuva065  scur1688                 2.0             0.0
2025-11-02 gpuuva065  scur1688                 8.0             0.0
2025-11-16 gpuuva065  scur1688               181.5             0.0
2025-11-17 gpuuva065  scur1688               844.8             0.0
2025-11-18 gpuuva065  scur1688                49.7             0.0
2025-11-20 gpuuva065  scur1688                94.9             0.0
2025-11-21 gpuuva065  scur1688               252.5             0.0
2025-11-22 gpuuva065  scur1688               687.0             0.0
